,No correction,,ECP2,,ECP6,,SAFER_32,,PAYG,,FREE-p,,Aegis 9x61,,Zombie_XOR,,RIDER,,RIDER + FREE-p,,RIDER + ECP4,,RIDER-XOR,,RIDER-XOR + ECP4,,RIDER + Aegis 17x31
1.37E+08,82.6,2.42E+08,108.85,1.21E+07,101.07,1.27E+07,102.17,9.69E+08,106.1,9.69E+08,100.53,2.38E+07,98.855,2.36E+07,99.383,9.69E+08,101.7,9.69E+08,100.53,2.42E+08,101.62,2.37E+07,107.72,2.37E+07,100.45,2.36E+07,101.55
1.39E+08,82.1,2.46E+08,108.85,1.23E+07,101.07,1.29E+07,102.17,9.84E+08,106.1,9.84E+08,100.53,2.42E+07,98.855,2.40E+07,99.383,9.84E+08,101.65,9.84E+08,100.53,2.46E+08,101.62,2.41E+07,107.71,2.41E+07,100.45,2.40E+07,101.55
1.41E+08,81.6,2.50E+08,108.85,1.25E+07,101.07,1.31E+07,102.17,1.00E+09,106.1,1.00E+09,100.53,2.46E+07,98.855,2.44E+07,99.383,1.00E+09,101.46,1.00E+09,100.53,2.50E+08,101.62,2.45E+07,107.7,2.45E+07,100.45,2.44E+07,101.55
1.43E+08,81.1,2.54E+08,108.85,1.27E+07,101.07,1.33E+07,102.17,1.02E+09,106.1,1.02E+09,100.53,2.50E+07,98.855,2.47E+07,99.383,1.02E+09,101.38,1.02E+09,100.53,2.54E+08,101.62,2.49E+07,107.68,2.49E+07,100.45,2.47E+07,101.55
1.45E+08,80.6,2.58E+08,108.85,1.29E+07,101.07,1.35E+07,102.17,1.03E+09,106.1,1.03E+09,100.53,2.54E+07,98.855,2.51E+07,99.383,1.03E+09,101.33,1.03E+09,100.53,2.58E+08,101.62,2.53E+07,107.67,2.53E+07,100.45,2.51E+07,101.55
1.48E+08,80.1,2.62E+08,108.85,1.31E+07,101.07,1.37E+07,102.17,1.05E+09,106.1,1.05E+09,100.53,2.58E+07,98.855,2.55E+07,99.383,1.05E+09,101.27,1.05E+09,100.53,2.62E+08,101.62,2.57E+07,107.67,2.56E+07,100.45,2.55E+07,101.55
1.50E+08,79.6,2.66E+08,108.85,1.33E+07,101.07,1.39E+07,102.17,1.06E+09,106.1,1.06E+09,100.53,2.62E+07,98.855,2.59E+07,99.383,1.06E+09,101.17,1.06E+09,100.53,2.66E+08,101.62,2.61E+07,107.66,2.60E+07,100.45,2.59E+07,101.55
1.52E+08,79.1,2.70E+08,108.85,1.35E+07,101.07,1.42E+07,102.17,1.08E+09,106.1,1.08E+09,100.53,2.65E+07,98.855,2.63E+07,99.383,1.08E+09,100.92,1.08E+09,100.53,2.70E+08,101.62,2.64E+07,107.66,2.64E+07,100.45,2.63E+07,101.55
1.54E+08,78.6,2.73E+08,108.85,1.37E+07,101.07,1.44E+07,102.17,1.09E+09,106.1,1.09E+09,100.53,2.69E+07,98.855,2.67E+07,99.383,1.09E+09,100.84,1.09E+09,100.53,2.73E+08,101.62,2.68E+07,107.66,2.68E+07,100.45,2.67E+07,101.55
1.56E+08,78.1,2.77E+08,108.85,1.39E+07,101.07,1.46E+07,102.17,1.11E+09,106.1,1.11E+09,100.53,2.73E+07,98.855,2.71E+07,99.383,1.11E+09,100.71,1.11E+09,100.53,2.77E+08,101.62,2.72E+07,107.66,2.72E+07,100.45,2.71E+07,101.55
1.59E+08,77.6,2.81E+08,108.85,1.41E+07,101.07,1.48E+07,102.17,1.13E+09,106.1,1.13E+09,100.53,2.77E+07,98.855,2.74E+07,99.383,1.13E+09,100.58,1.13E+09,100.53,2.81E+08,101.62,2.76E+07,107.65,2.76E+07,100.45,2.74E+07,101.55
1.61E+08,77.1,2.85E+08,108.85,1.43E+07,101.07,1.50E+07,102.17,1.14E+09,106.1,1.14E+09,100.53,2.81E+07,98.855,2.78E+07,99.383,1.14E+09,100.42,1.14E+09,100.53,2.85E+08,101.62,2.80E+07,107.65,2.80E+07,100.45,2.78E+07,101.55
1.63E+08,76.6,2.89E+08,108.85,1.45E+07,101.07,1.52E+07,102.17,1.16E+09,106.1,1.16E+09,100.53,2.85E+07,98.855,2.82E+07,99.383,1.16E+09,100.28,1.16E+09,100.53,2.89E+08,101.62,2.84E+07,107.65,2.83E+07,100.45,2.82E+07,101.55
1.65E+08,76.1,2.93E+08,108.85,1.46E+07,101.07,1.54E+07,102.17,1.17E+09,106.1,1.17E+09,100.53,2.89E+07,98.855,2.86E+07,99.383,1.17E+09,100.15,1.17E+09,100.53,2.93E+08,101.62,2.88E+07,107.64,2.87E+07,100.45,2.86E+07,101.55
1.67E+08,75.6,2.97E+08,108.85,1.48E+07,101.07,1.56E+07,102.17,1.19E+09,106.1,1.19E+09,100.53,2.92E+07,98.855,2.90E+07,99.383,1.19E+09,100.07,1.19E+09,100.53,2.97E+08,101.62,2.92E+07,107.63,2.91E+07,100.45,2.90E+07,101.55
1.70E+08,75.1,3.01E+08,108.85,1.50E+07,101.07,1.58E+07,102.17,1.20E+09,106.1,1.20E+09,100.53,2.96E+07,98.855,2.94E+07,99.383,1.20E+09,99.965,1.20E+09,100.53,3.01E+08,101.62,2.95E+07,107.63,2.95E+07,100.45,2.94E+07,101.55
